2021-06-29 00:06:899 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-29 00:06:857 INFO  HomePage :41 - Clicking on Computers Tab[[ChromeDriver: chrome on WINDOWS (5bd182a3dcffd0f0e16b26ce26f0eceb)] -> xpath: //body[1]/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-29 00:06:241 INFO  HomePage :34 - Clicking on Desktop options:[[ChromeDriver: chrome on WINDOWS (5bd182a3dcffd0f0e16b26ce26f0eceb)] -> xpath: //body/div[6]/div[3]/div[1]/div[2]/div[1]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-29 00:06:491 INFO  HomePage :30 - Clicking on Products from dropdown:[[ChromeDriver: chrome on WINDOWS (5bd182a3dcffd0f0e16b26ce26f0eceb)] -> xpath: //select[@id='products-orderby']]
2021-06-29 00:06:696 INFO  HomePage :35 - Clicking on Add to cart:[[ChromeDriver: chrome on WINDOWS (5bd182a3dcffd0f0e16b26ce26f0eceb)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/div[2]/button[1]]
2021-06-29 00:06:765 INFO  HomePage :45 - Clicking products from dropdown:[[ChromeDriver: chrome on WINDOWS (5bd182a3dcffd0f0e16b26ce26f0eceb)] -> id: product_attribute_1]
2021-06-29 00:06:32 INFO  HomePage :49 - Clicking products from dropdown2:[[ChromeDriver: chrome on WINDOWS (5bd182a3dcffd0f0e16b26ce26f0eceb)] -> id: product_attribute_2]
2021-06-29 00:06:195 INFO  HomePage :54 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (5bd182a3dcffd0f0e16b26ce26f0eceb)] -> id: product_attribute_3_7]
2021-06-29 00:06:330 INFO  HomePage :58 - Clicking on radio button2:[[ChromeDriver: chrome on WINDOWS (5bd182a3dcffd0f0e16b26ce26f0eceb)] -> id: product_attribute_4_9]
2021-06-29 00:06:472 INFO  HomePage :62 - Clicking on radio button3:[[ChromeDriver: chrome on WINDOWS (5bd182a3dcffd0f0e16b26ce26f0eceb)] -> id: product_attribute_5_12]
2021-06-29 00:06:267 INFO  HomePage :65 - Clicking on total amount:[[ChromeDriver: chrome on WINDOWS (5bd182a3dcffd0f0e16b26ce26f0eceb)] -> xpath: //span[text()='$1,475.00']]
